114,2.504105958
302,1.943087476
645,1.781779055
720,1.645439846
406,1.643907026
201,1.635345709
606,1.565780854
168,1.561217469
741,1.515878017
648,1.467815881
138,1.442503325
291,1.377038655
771,1.35707656
780,1.305366713
245,1.171225217
93,1.147578334
788,1.123155793
722,1.081959067
482,1.067724867
484,1.055375697
169,1.033722068
94,1.014104276
644,1.004566323
659,0.972633694
204,0.94735976
223,0.943457639
633,0.942544632
570,0.940688475
321,0.932793891
186,0.897275211
658,0.88261556
525,0.878468653
571,0.866899088
673,0.832838362
491,0.820792336
243,0.819703063
764,0.788642138
313,0.773856806
0,0.767241934
170,0.748891221
446,0.718345868
226,0.610378261
44,0.535356346
630,0.526644117
361,0.492335796
512,0.491478978
88,0.489241267
629,0.474485651
461,0.471366752
769,0.461877159
247,0.428545507
615,0.423860768
662,0.401323645
224,0.383556488
545,0.38179796
774,0.376832302
213,0.364009987
697,0.354531829
728,0.349617924
334,0.331094208
72,0.329201701
212,0.320076226
515,0.315073283
216,0.306339987
362,0.293023212
740,0.291583625
797,0.288872404
592,0.286116529
71,0.283391275
616,0.282633774
180,0.280619307
166,0.271187203
231,0.252702011
257,0.245919881
685,0.239923536
732,0.218834081
454,0.218066448
562,0.212479199
368,0.20800893
393,0.207731778
723,0.193199365
279,0.191787485
30,0.174936869
316,0.167631507
783,0.164995679
183,0.131577868
46,0.130838148
112,0.129023833
425,0.120288303
197,0.103870025
733,0.102590076
433,0.092151277
39,0.082148232
707,0.074775389
329,0.071111229
490,0.057386441
4,0.051351636
688,0.041418929
148,0.033795348
64,0.030095987
402,0.017773469
500,0.01753698
734,-0.009252239
704,-0.010113253
331,-0.025451555
746,-0.027741544
217,-0.039322408
380,-0.054209107
459,-0.061045018
15,-0.066039105
175,-0.067882231
193,-0.072995415
344,-0.073261263
77,-0.073370466
36,-0.073548
566,-0.077792009
111,-0.085142342
86,-0.09637871
603,-0.099058779
162,-0.108545454
432,-0.109337445
647,-0.115467294
90,-0.117992295
557,-0.118321147
474,-0.120430711
